Participant,Practice,Block,Trial,semantic,gestures,congruent,stimulus,mouse
42,false,4,2,2,3,1,g1,null
42,false,4,3,2,3,1,c2,null
42,false,5,0,2,3,1,c1,null
42,false,5,1,2,3,1,g1,null
42,false,5,2,2,3,1,c2,null
42,false,5,3,2,3,1,g2,null
42,false,6,0,2,3,1,c2,null
42,false,6,1,2,3,1,c1,null
42,false,6,2,2,3,1,g2,null
42,false,6,3,2,3,1,g1,null
42,false,7,0,2,3,1,g1,null
42,false,7,1,2,3,1,c1,null
42,false,7,2,2,3,1,c2,null
42,false,7,3,2,3,1,g2,null
42,false,8,0,2,3,1,c1,null
42,false,8,1,2,3,1,g2,null
42,false,8,2,2,3,1,g1,null
42,false,8,3,2,3,1,c2,null
42,false,9,0,2,3,1,c1,null
42,false,9,1,2,3,1,g2,null
42,false,9,2,2,3,1,c2,null
42,false,9,3,2,3,1,g1,null
42,false,10,0,2,3,1,g1,null
42,false,10,1,2,3,1,c2,null
42,false,10,2,2,3,1,c1,null
42,false,10,3,2,3,1,g2,null
42,true,0,0,2,3,0,c1,left
42,false,11,0,2,3,0,g1,null
42,false,11,1,2,3,0,g2,null
42,false,11,2,2,3,0,c1,null
42,false,11,3,2,3,0,c2,null
42,false,12,0,2,3,0,g1,null
42,false,12,1,2,3,0,c2,null
42,false,12,2,2,3,0,c1,null
42,false,12,3,2,3,0,g2,null
42,false,13,0,2,3,0,c1,null
42,false,13,1,2,3,0,g1,null
42,false,13,2,2,3,0,c2,null
42,false,13,3,2,3,0,g2,null
42,false,14,0,2,3,0,c1,null
42,false,14,1,2,3,0,g1,null
42,false,14,2,2,3,0,g2,null
42,false,14,3,2,3,0,c2,null
42,false,15,0,2,3,0,g2,null
42,false,15,1,2,3,0,c1,null
42,false,15,2,2,3,0,g1,null
42,false,15,3,2,3,0,c2,null
42,false,16,0,2,3,0,g2,null
42,false,16,1,2,3,0,c2,null
42,false,16,2,2,3,0,c1,null
42,false,16,3,2,3,0,g1,null
42,false,17,0,2,3,0,g2,null
42,false,17,1,2,3,0,c1,null
42,false,17,2,2,3,0,g1,null
42,false,17,3,2,3,0,c2,null
42,false,18,0,2,3,0,c2,null
42,false,18,1,2,3,0,g2,null
42,false,18,2,2,3,0,c1,null
42,false,18,3,2,3,0,g1,null
42,false,19,0,2,3,0,g1,null
42,false,19,1,2,3,0,g2,null
42,false,19,2,2,3,0,c2,null
42,false,19,3,2,3,0,c1,null
42,false,20,0,2,3,0,g1,null
42,false,20,1,2,3,0,g2,null
42,false,20,2,2,3,0,c1,null
42,false,20,3,2,3,0,c2,null
42,true,0,0,2,1,0,c1,right
42,false,21,0,2,1,0,g2,null
42,false,21,1,2,1,0,g1,null
42,false,21,2,2,1,0,c1,null
42,false,21,3,2,1,0,c2,null
42,false,22,0,2,1,0,c1,null
42,false,22,1,2,1,0,g2,null
42,false,22,2,2,1,0,c2,null
42,false,22,3,2,1,0,g1,null
42,false,23,0,2,1,0,c1,null
42,false,23,1,2,1,0,g1,null
42,false,23,2,2,1,0,g2,null
42,false,23,3,2,1,0,c2,null
42,false,24,0,2,1,0,g2,null
42,false,24,1,2,1,0,c2,null
42,false,24,2,2,1,0,g1,null
42,false,24,3,2,1,0,c1,null
42,false,25,0,2,1,0,g1,null
42,false,25,1,2,1,0,g2,null
42,false,25,2,2,1,0,c2,null
42,false,25,3,2,1,0,c1,null
42,false,26,0,2,1,0,g2,null
42,false,26,1,2,1,0,g1,null
42,false,26,2,2,1,0,c2,null
42,false,26,3,2,1,0,c1,null
42,false,27,0,2,1,0,c1,null
42,false,27,1,2,1,0,c2,null
42,false,27,2,2,1,0,g2,null
42,false,27,3,2,1,0,g1,null
42,false,28,0,2,1,0,g1,null
42,false,28,1,2,1,0,c1,null
42,false,28,2,2,1,0,c2,null
42,false,28,3,2,1,0,g2,null
42,false,29,0,2,1,0,c2,null
42,false,29,1,2,1,0,c1,null
42,false,29,2,2,1,0,g1,null
